comment_Text,Have_Sarcasm,Sarcasm_Type,
"I HATE THIS GAME!!! I can't watch my ads! Like seriously.. Ã°ÂÂÂ© worst game ever. Also, the only thing I love about it is that it calls me a loser!! I love it so much! But there's no way to go back to the main menu... AMAZING but then when you get to it... IYS EDUCATIONAL bleckkk ew nastayy I hate this game so much and please download tho...",Yes,Self-Deprecation,
"The game suggested to give itself only a star so I rated it with only one star. The game gmhas potential, it is challenging yet fun. The downside was the design of the title page and ui. The simplicity of the design during the game was alright because it chellanges the player with the similarities of the tile shapes. Overall, it was a fun game to play.",Yes,Humor,
"The game is thrilling but gives nausea later on as you keep chasing the blocks with your eyes and at the same time, thinking if you've got the right color. But all in all, this game has potential to improve in many areas. Keep annoying your players while giving fun!",Yes,Humor,
"This game is absolute GARBAGE. I mean, how can I enjoy a game when it has no ads?! And heck, even the game itself is trash. It took me 3 seconds to understand it, that is way to long for my standards. And the fact that it's fun isn't even the worst part. The worst part is the fact that it's unique. How dare the devs make a game with no ads AND make a fun and addictive game! I can't believe I even bothered to install this price of poop.",Yes,Irony,
"What is this? You simply have a fun game with no ads. Despicable. These creators are just begging for a one star review with how bad this app is. How am I supposed to enjoy my ads with no ads. The fact that it is fun and somewhat challenging... Disgusting. It even requires me to use my brain. Only a demonic creature bent on mass destruction could have come up with something so awful. I'm going back to play evil sponge neighbor find the secrets. Plenty of ads, ans no thinkinf needed. L + Ratio.",Yes,Irony,
This is the worst game in the history of worst games. 1. It has NO ADS can't enjoy anything without ads popping up every 30 seconds. And 2. ITS SO COMPLICATED you tap squares make it easier!!,Yes,Self-Deprecation,
"Just plain bad. Theres no top-tier ads for me to find new, better games. It's just white with flashing colors, completely pointless. I don't understand who would come up with such a horrible idea for a game. You know what, I hate this game so much, that I'll even tell my grandmother to give this game one star. Absolute trash. If I could give 0 stars, I would.",Yes,Self-Deprecation,
"Awful. 3 columns and colors. I am daltonic, so this game is the worst thing I ever saw. Althrough, I can give it a good rating: they helped me to remind my life situation that I messed up. No ads, but this can be consumed, that is great, that you learned how to hide them. All wrong answers were an Ads. I knew it. ONe S ta R",Yes,Irony,
"Worst game ever. The game is engaging, which is bad because i missed a meeting, it insults me when i fail, which reminds me of my ex-wife, Sharon, it lets me ay a GAME (can you belive it? It LETS me play a game?) I was expecting a challenge to get onto the game but nope! Too easy! Oh but the ads are the worst, where are my precious,beautiful,wonderful ads?? Im heartbroken",Yes,Self-Deprecation,
"This app is ridiculous! The game is actually challenging, and I can't believe how little there are ads in this! I can't live without my precious ads! This is a horrible app. The only good thing about it is there's not more then one of those terrible games in the app!",Yes,Irony,
This game was enjoyable even though i didnt know what to do first or how the game works. Its quite challenging but sometimes the colors are not being tapped and missed it. Add designs to the game and use other colors or change the background that would fit for the game.,Yes,Humor,
"The reason why the game is called one of the worst is because of the lack of instructions on how the game works. As I played it, I have no idea on what I am doing because the buttons also dont have interaction with the players in clicking it. As I got to play it in my third try, I was able to get the game and got 920 points. It is boring because as you progress, you do not level up and there's no certain effect with getting a high point in the game. The game itself makes no sense.Ã°ÂÂÂ",Yes,Self-Deprecation,
"Worst game ever. They have the audacity to make it a simple and nice enjoyable game I can quickly play while I'm bored. I'm baffled at the thought that they actually don't stop my game to display ads like, I wanna see ads, that's like a big reason I played the game! Unenjoyable. I recommend rating it a 1 star to warn other people",Yes,Humor,
"The app deserves its one star rating because the app is not enjoyable and it does not have anything most user/players would be interested in and most importantly, the interface is not friendly. It would've been better if the developer added challenges and rewards or user customization for the players to put effort in playing the game.",Yes,Humor,
It was a fun game though it needs improvement. The game does not have an end unless you will tap the wrong rectangle to lose lives. Maybe you can add other features like scoreboard so that the player can have a sense of accomplishment when their names appear in it. This game is good for those who are looking for a game to cure their boredom but for me I do not think that I will play this daily. You can do better.,Yes,Humor,
"If only I could rate this 0 stars, first of all the game is sooo harddd like why do that, my highest score is only 790. Second of all, add some ads! Like my goal was to watch ads like tv. But you gave me work. And last of all, the words that you say are encouraging like, how dare you be nice to me. Do better with yourself. I can't believe this. Uninstalled immediately.",Yes,Irony,
"Absolutely terrible. Awful concept, and as if it couldn't get any worse, there aren't any ads. I think everyone can agree that the best games always force you to watch 30 second ads after every round. There simply isn't a word in the English language that can accurately express my disappointment.",Yes,Irony,
"This game is terrible! Trying to be quirky and not like other games. Absolutely NO ads which is so annoying, interesting mini games that suck, and no payment requirements! Please add these things!",Yes,Irony,
"Ugh, if I could give this 0 stars I would! This game sucks! It doesnt have any ads which is outrageous, every game should have an ad with every click they are very enjoyable. And the game itself makes no sense! Not to mention it lowers your self esteem so much! I lost at it's impossible game and it called me a loser! Just like my ex husband. I'm not the loser Carl, you are! These remarks DONT Effect me... but it could really hurt someones feelings. Do not download.",Yes,Humor,
"There's not even a single ad popped up, usually fun games should have ads, on this game, not a single ad appeared, it's so horrible, this is the worst game I've ever played. Ever.",Yes,Humor,
"literally the worst app I've ever played. no ads either?? you need at LEAST 3 ads every 10 seconds! it's super hard to play too. I'm just mad that the 'game' doesn't have any subscription things I could buy for $100 a month! Ã°ÂÂÂ Uninstalling right now, 1 star! (I'm kidding ofc)",Yes,Self-Deprecation,
"This app is the worst. Not only is there no ads, but it's super complicated. I mean, TAPPING SQUARES?! Why can't you make things more simple? I thought this was gonna be a fun little game but IT IS NOT! How DARE they try to make me use 2 brain cells to play this game. UNBELIEVABLE! I would NEVER recommend this game! How can I enjoy a game without a 30 second unskippable ad every 2 seconds?! In short, DO NOT DOWNLOAD, and if you do, rate it 1 star because it is TERRIBLE!!!",Yes,Irony,
The worst game in existence! It has 0 ads! We all know the best games have 250 ads every level! The game doesn't glitch at all AND when I press the color the beep comes when I touch the color like WHAT! Only 5 star games glitch and respond 1 minute after! DO NOT GET IT! (All jokes aside this is a pretty cool game),Yes,Self-Deprecation,
"Wow, what a dumpster fire. Controls are a mess and the boxes are as laggy and slow as my grandma with dementia. The WORST. GAME. EVER. My friend showed me this game and installed it thinking its going to be great but only to be met with disappointment. I never talked to that """"friend"""" ever again. So thanks, ""GAME"". Maybe develop something better next time morons.",Yes,Self-Deprecation,
"This app is the WORST! It had no ads and the ads in mobile games are my LIFE! It actually presented a challenge, and nurtured my brain, but I need everything handed to me on a silver platter. 1/10 would not recommend (this is a good game)",Yes,Self-Deprecation,
"* Download time: Terrible download. It took about 10-15 seconds...Insain! * ""Help"" Screen: Atrocious Ã°ÂÂÂ£ AND Absolutely ** No Help at ALL! In fact, it was so bad I couldn't locate it! Ã°ÂÂÂ * Game Playability: Painfully Alarming! It made me feel like a complete dunce! Once I got the 'hang of it' I got tired and quit. It said I was 120 points away from the top score of 1760. Who cares? Ã°ÂÂÂ",Yes,Irony,
"This game is outright trash thank you the creator of this app of making it more worse by the way it ain't pointless to install because you get what you get with this app just look at the title and you know what this app is all about. I forgot to tell you that your really "" good"" at the guitar it is better than anything I have ever heard even mirrors will love it . Why aren't there any ads I love adds I'm "" patient"" at all times . Ã°ÂÂÂ",Yes,Self-Deprecation,
"One of the worst games ever in my life. First of all,it has no ads. How can I enjoy this game if I can't watch my ads!? Also the game of clicking squares is horrible. Why would anyone play this horrible game? Give me one reason why I would give this another measly star. Even games that also have one star I would give another star because it is MUCH more better than this. My final thought is that you should NEVER get this game.",Yes,Self-Deprecation,
"Worst app ever. It's ad free, which is really frustrating. I want ads every five seconds that plaster my screen. The support team is quick to respond and is kind and helpful, which really grinds my gears, why would you ever help users!? If I could rate zero stars I sure would.",Yes,Self-Deprecation,
"My otherdimensional friend downloaded this app as he was finding a decent time-waster. A few moments after, I saw him in his ""low-power"" form. I decided to find out what happened and his travelling device was on cooldown. He told me that he didn't travel, yet it was suddenly on cooldown. I decided to delete the app and the cooldown finally counted down. I only downloaded this app to give a 1 star rating. Bye. Edit: Actually tried it. Got only Tik-tok ads for the last hour. WORST APP EVER.",Yes,Self-Deprecation,
"So bad Ã°ÂÂÂAbsolutely zero ads, ZERO ADS I NEED ADS TO LIVE HOW CAN A MOBILE GAME HAVE ZERO ADS, an absolute disgrace. I expect to have advertisement and in app purchases shoved down my throat it's a mobile game after all. Other than that it is awful and garbage and the people who made should be sentenced to death.",Yes,Irony,
It absolutely sucks a game with no ads I need ads to live. And everything is so black and dark it's so boring. The color of this app is shows my mood right now. Very unacceptable. Even when you're doing something fun and you're playing this game it's so boring.,Yes,Humor,
Honestly was great till I found out it was pay to win and full of reused assets from the previous game. I can't believe how lazy and buggy this game is from the first one. It is mindblowing how many microtransactions you can put in one menu. Story is too politcal also. I bought the collectors edition and still haven't received my One Star Bag and still no refund. Im frustrated and heartbroken that this studio has strayed so far from the light.,Yes,Irony,
"When I downloaded I thought ""It'll be a fun game!"" NO. First off, there are NO ADS!!! I need ads to live! I actually had to pay FOR ads! And then, the game hacked into the government's supercomputer, and nuked me. I'm on a tropical island surrounded by hula dancers where the sun never sets right now.",Yes,Humor,
"Unnaccceptable honestly. The gameplay is too fun and easy to get. There's no difficulty with pressing buttons on the menu, but the absolute worst thing is that there are NO. ADS. AT. ALL.",Yes,Humor,
"It was a fun game, although its a bit annoying sometimes considering the number of confusing colors with different names of colors are seem to be challenging and quite difficult to play. And as you progresses, the game will speed up, which will lead up to confusion and lost of focus. i didnt rated it as one star to promote the game , cause it was fun i think.",Yes,Humor,
The game is confusing yet not entertaining. Also there is no calibration to know if I misclicked the color and its proper name. The interface is bad and it's not really amusing to play. I feel bored after playing and this is a Piano Tiles very low quality edition. The game should add calibration and music for development. The technology is friendly for low quality gadgets and easily to download. It has no background story just playing a worst app game.,Yes,Self-Deprecation,
"This is app has no clear objective. It doesn't give a real challenge. You only have to pick the right word(color) that is appropriate to the colored box. when you lose its 3 lives, it will only mock you through saying ""you mess it up just like your life"". It may trigger you mentally. This game lacks in different factors or fundamentals that is needed in making a game. Perhaps, it might have a purpose of annoying a player.",Yes,Humor,
"Absolute worst app ever Ã°ÂÂÂ¡. Would not recommend. As soon as I went into the app, it nothing but show me ads. And even the ads kept glitching and freezing. Also, when I exited the app, my phone was hacked and then it exploded. Terrible app! Ã°ÂÂ¤Â¢Ã°ÂÂÂ­Ã°ÂÂÂ¡Ã°ÂÂÂ¡Ã°ÂÂÂ¡Ã°ÂÂÂ¡Ã°ÂÂÂ Wish I could give it 0 stars!",Yes,Irony,
"absolutely terrible I got this app, thinking it was a joke. However when I tried to open the app it crashed my phone, so I had to restart it. Exactly two minutes after restarting, my mom called saying my dad had died. While we were still talking, she started choking on an apple and passed as well. While it's probably a coincidence, I will be uninstalling the app, for safety purposes. Have a nice day.",Yes,Irony,
"This game is the worst app ever, their are no ads and the game just plays in 60fps, like why would a game have no ads, after I stopped playing I was sucked into the phone, and because their are no ads I couldnt leave the app and enter another realm in the phone, still stuck in the phone but I found out how to work the home button. Deserves the 1 star.",Yes,Self-Deprecation,
"It was a fun game, though its quite frustrating given the amount of confusing colors like (Sky Blue & Dark Blue) with different color names. It was both exciting and frustrating, and hard to play at the same time. As you advance, the game can escalate which leads to even more confusion and concentration loss.",Yes,Humor,
"WORST. GAME. EVER. 1. There is literally no ads! Like, who would wanna play a game with no ads!? 2. As soon as I started playing it, I got sucked right into the phone and the creator of the game busted Down my door and literally threw my phone into the ground! While I was still in the phone!!! The doctors have helped me and I woke up rating this STILL IN THE HOSPITAL. thanks alot with my experience.",Yes,Self-Deprecation,
"This game is the worst. First there isn't constantly ads interrupting the gameplay in the middle of it, second of all it's actually different and fun then the other very good games nowadays. And the worst part, there is no ad that shows someone sucking at the gameplay. SMH",Yes,Humor,
"This is the worst app that I have ever used. The ads are unbearable, the graphics are HORRIBLE, and the gameplay is boring and slow. If I could, I would rate it negative stars. NEVER play this game!",Yes,Self-Deprecation,
"Ok so this was awful. 100% Loaded. My phone gets a virus, a fatal one at that. It explodes in my hands as my guitar eats the speakers in my dining room. My hand grabs the table and lava erupts through the fireplace and my lounge is submerged. I see the storms gathering, and my phone explodes 69 more times. The end of the world is near. Help me. Apart from that, amazing app. :)",Yes,Irony,
"Absolutely horrible, rigged, horrible gameplay, not a single contact button in sight. Worst time I've had in years. Super bad and plus you can't even click much it doesn't register. Absolutely horrible. Would not recommend would rate 0 stars.",Yes,Self-Deprecation,
"Gameplay is fun and addicting and it's really easy to play. Plus, it's not throwing ads at you all the time. Funny thing about the game is that when you lose, it says: you messed this up just like your life. One star because it deserves a playerbase that listens to the developer.",Yes,Humor,
worst app ever downloaded. my phone started hanging when i opened up the app my phone totally stopped. not even restarting. then it took my 2gb data to start a stupid game after 1 and half hours. that game is so boring and still hanging. on every click there is an 45 seconds irrelevant advertisement. nonsense devoloper nonsense app.,Yes,Self-Deprecation,
"Woooow, this game sucks... there is only one fun mind-tricking game, the starting background is beautiful, and sharing the game is a breeze! There were so many not ads there! Can I can play that mini game over and over again, 1 star game, no doubt about it, dont download if you dont like a good game.",Yes,Humor,
This is honestly one of the worst apps I've ever had. As soon as I downloaded it my brand new iPhone 20 completely crashed. It would even turn on anymore so I have to write this on a computer. I seriously dont consider getting this app whatsoever.,Yes,Self-Deprecation,
It was horrible . Instead of helping me when I lost the game it said that my life was messed up ?? It dosent even give instructions. The app is confusing . The layouts ugly. It's just horrible. Worst app ever!,Yes,Self-Deprecation,
This game is filled with crazy and weird reviews but none of those things are true obviously. I find it hilarious that the game purposely want their players to rate it really bad. The game is playable but it gets boring over time. I recommend this game if you are waiting for something and you don't have anything to do and theres no wifi because you can play this game offline.,Yes,Humor,
"I rated this game a 3 stars because it's hard at first try because i don't know how to play it, but at the other tries i find it enjoyable because it will test you not confusing of each color and their names. I also find it interesting, because of getting the right color and their names. Limit play of it if you have eye problems because it is dangerous too.",Yes,Humor,
"Worst game on earth!!!!! First off, there is no ads! No point in a game with no frickin ads. Second, as soon as I played a portal to the Arctic ocean apeared and then the game put a virus in my phone which made it come to life!!! My phone pushed me into the portal but instead of going to the Arctic ocean I was sent to the south pole in my underpants! And then I died of hypothermia :) so don't get this app :)",Yes,Self-Deprecation,
Absolutely God awful. Worst game I ever played it gave me and my family cholera. Just one minute of gameplay will give you explosive diarhea for 3 months! The graphics are so bad I vomited blood for 6 minutes straight. The game is so buggy real bugs will come out of your phone. Not to mention the game being a complete and utter add-fest. Overall worst game I ever played do not play this game if you value your loved ones.,Yes,Irony,
"I can't believe how difficult this game is. I installed it, which required me to buy a mansion in England for 12.4 million dollars, then I got deported to Jupiter. After Finally making my way back to earth on a corellian junker that got lost ( 12 times I might add). I got back to load up some adds on this game and THERE WERE NO ADDS!!! WHUT?!?!?!",Yes,Irony,
"Horrible experience, honestly what am I supposed to do without my precious little ads? No ads, no stars. Why isn't there an option to rate 0 stars or negative stars? The interface is garbage the little game is trash. The only thing in praising is the game's icon. It's clean but garbage!",Yes,Self-Deprecation,
"The worst app to ever exist. As soon as you open the app, it flashes nudes and extremely graphic pictures, stuff you wouldn't even think of in your nightmares. Don't waste your time.",Yes,Self-Deprecation,
WORST APP EVER. First it has no ads I need ads to live and it's to much of a fun game and it's way to hard I need a game that a newborn can play and the worst part is that it's f2p I know terrible also when I played this Elon Musk came to my house and sent me to Mars and I had to come back to earth. Don't download this app!,Yes,Irony,
"This is absolutely atrocious! I have never seen a game so awful, this game is a blight on humanity! The instructions were unclear and unhelpful, the game itself makes no sense, and overall is an awful experience. If I could rate in negative stars, I would. It does not deserve even one star, but sadly, it is the lowest I can rate it. Never play this.",Yes,Irony,
It's horrible. The instructions weren't very helpful. Worst app in history. There were absolutely no ads in this app which comes off as alarming to me!!! Ã°ÂÂÂ¡ The developers put absolutely NO work into this and I am extremely mad. If you want people to download your app then I suggest putting ads and actually trying on it. Honestly. -Ã¢ÂÂ/5 stars. I really wish you guys learn your lesson.,Yes,Self-Deprecation,
Terrible experience. I gave my password to my bank account to play this and all it did was hack all of my accounts and take all my money. I had no idea it would do that. Impossible to uninstall since it takes control of the entire device. DO Not recommend.Ã°ÂÂÂ¡Ã°ÂÂÂ¡Ã°ÂÂÂ¡Ã°ÂÂÂ¡.,Yes,Irony,
"The literal worst game in the app store. The game charges your account 10$ for every time you lose. And if you win, you get nothing in return... And it's is subscription based, and it automatically charges you an extra 29$ every month. There is no way to unsubscribe. Plus there is an ADD LITERALLY EVERY 10 SECONDS!! RATE THIS ONE STAR!!!!!!!",Yes,Self-Deprecation,
"Worst app in the world. There are no more ads, which is really bad because everyone loves ads! Also, while I was playing the app, a car broke through the walls of my house and hit me! Then, at the hospital, the doctor saw that I had this app installed and refused to help me! also the game called me a loser and i am not a loser. 0/10 Would not recommend.",Yes,Self-Deprecation,
"This is the worst game ever I'm giving it a 1 star because it doesn't have any ads like why!?, it also has bad graphics, every single time I open the app, my phone developes feet and arms so I have to find it every single time because it just seems to love running away from me, I hate this game.!!",Yes,Self-Deprecation,
Too hard! I dont even know what to match with only 1 brain cell! Absolutely a terrible Game! With only 360p resolution I cant handle it with my potato phone! 1 Star is the best rating for this game! This game only has 1 game! Only match the color! Its so smooth I cant handle it! I hate this app or game..,Yes,Irony,
"I doubted that this app was so bad that it deserved so many one stars at first, but when I tried it, the app was so laggy that the blocks were teleporting and I couln't even tap them. (ofc it has nothing to do with my internet connection, my internet is powered by chi.) The worst app ever, designed to waste time.",Yes,Self-Deprecation,
How the heck I person can add so much ad in one game. I mean every button I clink there is a ad. And the gameplay it's horrible. It reminds me where are we here just to suffer. And the app is to complicated. Worst experience ever,Yes,Self-Deprecation,
The game is fun but it is confusing color with different name of color and it's was challenging to me to play. The game will lead to loss of eye focus because the process of the game will speed up. I found out that this game is interesting to me even if it is simple and don't have an instruction how to play it.,Yes,Humor,
"Terrible game. The ads are gone, which makes me even more mad because everyone knows that games like these need ads every 10 seconds. After playing this game for 5 minutes, my phone crashed and exploded followed by a tsunami that was caused by the game. After getting hit with the tsunami, that water turned into lava and the only reason I survived was because of a fire resistance potion and netherite armor. After the tsunami, we had a magnitude 11 earthquake and my phone fell in the abyss. 1Ã¢Â­Â!",Yes,Irony,
Absolutely terrible. As soon as I downloaded my phone ran away from me and I found it across the country! When I found it I saw all of my apps were deleted and the houme and lock screen was a pic of drugs. And somehow this app called the cops on me and I served 10 years in prison! This is a horrible app! WOULD NOT RECOMMEND!,Yes,Irony,
"This game is SO bad. It has absolutely 0 ads and everybody knows that if you're playing a game it MUST have AT LEAST 4 ads every time you pass a level, not only that, This game actually has a reason for existing, to become the no1 worse app, and we know that the BEST 5 star games have no point of existing. Take a 5 star game like those that take like 4 days to be made and compare it to THIS. Anyway, it's utter TRASH and I wouldn't recommend it. Bye, SUCKERS",Yes,Self-Deprecation,
"I saw the reviews and thought they were hilarious, so I installed the app thinking "" its just gonna be a boring app telling you to rate it 1 star"".. but I was wrong, as soon as I installed the app, my phone turned into ice and I almost got frostbite on my hands..then I passed out and woke up at a circus, but it was abandoned..and the clowns were ghosts..I am currently writing about this from heaven because I was killed as soon as I escaped the abandoned circus. DO NOT INSTALL!! PLEASE!",Yes,Humor,
"This app is HORRIBLE. evrytime i play, i lose aft e clicking like- 1 BLOCK!!! and it isults me everytime i lose... it hurts my feeling so much smh Ã°ÂÂÂÃ°ÂÂ¤Â§ but worst of all, ITS AD FREE!!!! WHICH SUCKS Ã°ÂÂÂ¡ the only games I install are games that have adds pop up every time i finish a level, OR EVEN WHILE IMPLAYING THE GAME. ugh. WORST GAME EVER. Install it, sure, but rate it 1 star then uninstall it immediately after telling you friends to rate it one star.",Yes,Self-Deprecation,
"I lurked for the worst game ever known and- and I saw. I saw this game and I had this- this feeling to know. To know what lurks in a game worse but somewhat better than the other dumb games. I couldn't help but follow the app. I went to see the magnificent horror. It- it was so beautiful, in the worst ways ever, I exited, went down and decided to do what it wanted-to rate the app 1 star. Even Google plays themself wanted to stop me, but it couldn't. Because I am here, obeying it's orders.",Yes,Self-Deprecation,
"WORST APP EVER!! First of all, the game has no ads..which is not great at all since these games are better with them. Then, EarBarf....I had no idea what that was until I decided to download this. So thas a thing...and all of a sudden the EarBarf shot out of my screen and completely burnt my phone. So I had to go get a completely new one, which cost me $1200...then EarBarf",Yes,Self-Deprecation,
This is the worst app ever!! I installed it and found out that I got tracked on the hitman list. I am getting tracked rightbnow so I need to contantly move house. This make me poor so then now I am homeless. After all that was taken care of a tsunami hit me even though there are no beaches anywhere from where I live. Lastly I got expelled from school and got hit by a car. I am currently writing this in not heaven but hell so please don't get this app if you don't wanna get bad luck and die.,Yes,Self-Deprecation,
"Terrible game. No story, absolutely horrible graphics. There is nothing about this game I like.Would rate 0 stars if I could. would not recommend to anyone, not even my enemies. I would not recommed anyone to experience this horrendous excuse for an app. 0/10, even -5/10. It has no meaning and is way too easy.",Yes,Irony,
"This is the worst app I have ever played. It has no ads, like everyone loves ads. Second, when I downloaded the game, my finger and my foot disappeared. Third, I lost all my money. Fourth, I got thrown I got thrown into a volcano. Worst app, it is badluck. Don't install it.",Yes,Self-Deprecation,
"This game totally Sucks! It does Not have an awesome minigame that I could play for hours, and is totally horrible... Futhermore, after playing for 3 mins, the phone flew out of my hand and out the window!!! I chased it but I fell in a HUGE black hole that it created, and am now stuck and the bottom of a mystical dymention full of hostile creatures that killed me! I am now in the afterlife with my phone.pls don't download. I RATE THIS A 1 STAR.",Yes,Humor,
"I gave this 3 star, because this is not the worst app ever, as I thought it could be. It's simple, it's easy to understand and it practices mind and eye coordination. However, playing the game within 20 minutes straight, makes me really dizzy.",Yes,Self-Deprecation,
"Absolutely the worst experience I've ever had, to start there is ads everywhere, click, ad don't do anything, ad, gameplay is laggy, uncontrollable, and painful to look at. This doesn't even deserve zero stars it deserves -27 stars",Yes,Self-Deprecation,
It was an enjoyable game but you'll get bored easily. It has no instructions or tutorial on how to play the game and the visual aspects of the game are not really pleasing to the eyes because the background is just plain and the colors are bit bright.,Yes,Humor,
"Terrible app. As soon as i opened the app, someone broke into my home, stole my oven, and fled to the night. When i started playing the game, i was thrown across the room by one of my Hermet crabs. Once i had gotten back up, my house turned to ashes in seconds. Worst app ever. If i could rate it zero stars, i would.",Yes,Irony,
"worst game ever. I kept trying to make it work but my phone just got crashed. this app is the worst. also, my phone broke into eight pieces and not even flex tape could fix it. please make this stop. this is just horrible",Yes,Self-Deprecation,
"I would rate it 0 stars if it was not timed. This app changes your phone into a living timebomb. More effective than samsung's bomb. My group said this is less expensive than constructing an actual timebomb. So i wanted to rate it 5 stars. But i am afraid that some of you innocent people will download this and wont know that you've created something explosive, so if you want a regular fun app, this is one you should avoid.",Yes,Humor,
Simply awful. Clearly conceived by underachieving slackers with no goals and possibly no sense of integrity. No ads though so I'll probably use it and wait for the upgrade.,Yes,Irony,
"Very, very bad. The graphics look like they came out of an arcade game from 1980! And the game play is boring and repetitive. This has got to be the worst game on the appstore. DO NOT INSTALL. Unless you wanna give it a 1 star review.",Yes,Self-Deprecation,
"ABSOLUTELY THE MOST GRUESOME, TERRIBLE APP. I thought it would be fun to see what it was like, but when I installed a bunch of centipides starting appearing out of nowhere and I woke up in a volcano, smh. I rated it 5 Stars, but then the Volcano started erupting with lighting so I changed it to 1. DO NOT INSTALL, PLEASE.",Yes,Irony,
This game is soo bad! I downloaded it and guess what song played. NEVER GONNA GIVE YOU UP BY RICK ASTLEY. And then after the song was over. Rick Astley showed up at my house. HE SHOT ME WITH A SUPER SOAKER. THE WATER WAS FREEZING COLD. Then a Deadpool riding a polar bear came and sliced my head off. I had to type this review with my nose! Worst app and you should NOT and I repeat NOT download this app.,Yes,Self-Deprecation,
"so, I how do I put this. When I opened the app, it blasted my eardrums and blood splat out everywhere! . It also heated my phone up so much, that is caused a small fire!!! . My hand got burnt, and I had to get surgery to get TWO off my fingers off!!!!!!!! . THE WORST APP EVER. If your wondering how I'm typing this, I'm using my pet rocks phone!Ã°ÂÂÂ·",Yes,Self-Deprecation,
"THIS IS THE WORST APP I EVER SAW! Because u just.. Press the right colors but not the wrong one. And why when you fail, It says ""Play Again Loser""? Yeah.. Second worst part of the game but Preswing the right colors and not pressing the right colors, ARE THE WORST PARTS. Cuz i mean this game is like for Preschoolers. So ya and theres the steps I unstailled it rn! And rated it a one star which you wanted us to do so yeah.",Yes,Self-Deprecation,
I hate this app so much. It has no ads which is the main core of all apps and games. It runs in 60fps which is worst than all other games that run 30 or lower fps. I also hate this main menu where it's easy and perfectly made. Bad job on getting 1 star.,Yes,Self-Deprecation,
"The game is most definitely interesting, the mechanics, gameplay. Very simple and understandable. the only thing that lacked is the presentation, and soundtrack or sound effects. nevertheless a fun time consuming game",Yes,Humor,
"my Nintendo 3ds turned into Billy and Bam Bam?? AAAAAAH! Also, no ads? What the heck? I love 30 second ads! So fun! And this game has none of that! Also, it's very easy! And then my family GOT LOCKED IN AN OVEN?? BRUH!! Then I attempted suicide and was SUCCESSFUL??? NOOOOOO THIS APP IS SO BAD 0/10 INSTALL NOW (jk)",Yes,Humor,
The second best worst app I have ever played. The best worst app would be with an ad every 5 seconds. And this one actually has content.,Yes,Self-Deprecation,
"I almost never write reviews but I had to on this one cause of how terrible It was! You know, I love my games with ads! And if you don't put them in, I'LL SUE YOU! My eyes hurt because I have epilepsy!!!! I hate this game! that's why I uninstalled this game and gave it a 1 star review.",Yes,Irony,
