comment_Text,Have_Sarcasm,Sarcasm_Type
"One star, it was boring and you don't expect much from it, except being the worst game ever. Game needed more features, at least add more mods to keep it interestingly longer. It also needs to change that sound effect when you get a right answer, I felt like I was bar-code scanning items in a grocery store.",Yes,Self-Deprecation
"Awful, this app is horrible. it didnt have ANY ads, which is basically the point of games. You really have to work and think to get score, which I think ruins all games, as I like things to be handed to me from the start. I don't recomend this app to anyone. I cant believe anyone could even possible make such a bad game.",Yes,Irony
"Horrible, it had no ads! Which is my favorite part of games, I hate not being able to get ads in my face every millisecond! Second, it gave me bad luck, I had to donate my kidney to a dead person because it's so called ""good for them"" 2nd of all, my house burned down because I was drinking water, the water turned into flames after seeing the eye-straining colours. 3rd and last, I never got my chipotle.",No,None
"What I think about this game is that it really needs a lot of improvements especially in the style, gameplay and game design. There are no enjoyable moment within the game. It is so plain and the colors of the shape are eye straining. It could be improved with the design of how the shapes float and with the interactivity of the buttons, maybe a more pleasing style for the eye. It needs more challenges, difficulties, and maybe another level for the players to enioy. And also a pause button.",Yes,Humor
"Game was brilliantly made, not one miserable thought came to mind playing this. As I click on the lovely contrasted blocks of perfection, I couldn't help but feel as if I found the secret to life. This game, no. This paradise of experiences has taught me well. Thank you good sir.",No,None
"The only good thing I can say about this game is that the challenge was enjoyable, otherwise, it was painful. The interface does not help in giving cues on what it is about and uses eye straining colors. There are no instructions. Gameplay-wise it similar it is to rhythm-based games. Flow of incoming blocks vary in speed and difficulty becomes a headache to catch up to. Overall, despite its flaws, it was fun to play. Would recommend to other people to suffer like I did. (this is for school btw)",Yes,Humor
"I HATE THIS GAME!!! I can't watch my ads! Like seriously.. ð© worst game ever. Also, the only thing I love about it is that it calls me a loser!! I love it so much! But there's no way to go back to the main menu... AMAZING but then when you get to it... IYS EDUCATIONAL bleckkk ew nastayy I hate this game so much and please download tho...",Yes,Self-Deprecation
"The game suggested to give itself only a star so I rated it with only one star. The game gmhas potential, it is challenging yet fun. The downside was the design of the title page and ui. The simplicity of the design during the game was alright because it chellanges the player with the similarities of the tile shapes. Overall, it was a fun game to play.",Yes,Humor
"The game is thrilling but gives nausea later on as you keep chasing the blocks with your eyes and at the same time, thinking if you've got the right color. But all in all, this game has potential to improve in many areas. Keep annoying your players while giving fun!",Yes,Humor
"This app is extremely dangerous. I'm not recommend you guys to use this app. At first I thought those reviews are just a joke, but as soon as I open the app, my phone start freezing and just suddenly turn off. When my phone is turning on, the Samsung logo just freeze and the phone slowly overheating. Luckily, I have another phone so I can warn you guys DO NOT OPEN THIS APP. You have been warned!",No,None
It's literally nothing there is a game that u have to click on the blocks. For ex. If there is a red block and it says green in it and u click on it u will lose a live but if there is a red block and it says red in it click on it and it will get u a higher score moving forward. It's honestly really boring. I don't recommend.,No,None
"This game is absolute GARBAGE. I mean, how can I enjoy a game when it has no ads?! And heck, even the game itself is trash. It took me 3 seconds to understand it, that is way to long for my standards. And the fact that it's fun isn't even the worst part. The worst part is the fact that it's unique. How dare the devs make a game with no ads AND make a fun and addictive game! I can't believe I even bothered to install this price of poop.",Yes,Irony
"What is this? You simply have a fun game with no ads. Despicable. These creators are just begging for a one star review with how bad this app is. How am I supposed to enjoy my ads with no ads. The fact that it is fun and somewhat challenging... Disgusting. It even requires me to use my brain. Only a demonic creature bent on mass destruction could have come up with something so awful. I'm going back to play evil sponge neighbor find the secrets. Plenty of ads, ans no thinkinf needed. L + Ratio.",Yes,Irony
This is the worst game in the history of worst games. 1. It has NO ADS can't enjoy anything without ads popping up every 30 seconds. And 2. ITS SO COMPLICATED you tap squares make it easier!!,Yes,Self-Deprecation
"Just plain bad. Theres no top-tier ads for me to find new, better games. It's just white with flashing colors, completely pointless. I don't understand who would come up with such a horrible idea for a game. You know what, I hate this game so much, that I'll even tell my grandmother to give this game one star. Absolute trash. If I could give 0 stars, I would.",Yes,Self-Deprecation
"Awful. 3 columns and colors. I am daltonic, so this game is the worst thing I ever saw. Althrough, I can give it a good rating: they helped me to remind my life situation that I messed up. No ads, but this can be consumed, that is great, that you learned how to hide them. All wrong answers were an Ads. I knew it. ONe S ta R",Yes,Irony
"Worst game ever. The game is engaging, which is bad because i missed a meeting, it insults me when i fail, which reminds me of my ex-wife, Sharon, it lets me ay a GAME (can you belive it? It LETS me play a game?) I was expecting a challenge to get onto the game but nope! Too easy! Oh but the ads are the worst, where are my precious,beautiful,wonderful ads?? Im heartbroken",Yes,Self-Deprecation
"This app is ridiculous! The game is actually challenging, and I can't believe how little there are ads in this! I can't live without my precious ads! This is a horrible app. The only good thing about it is there's not more then one of those terrible games in the app!",Yes,Irony
This game was enjoyable even though i didnt know what to do first or how the game works. Its quite challenging but sometimes the colors are not being tapped and missed it. Add designs to the game and use other colors or change the background that would fit for the game.,Yes,Humor
The game was easy to get. The main menu was easy to navigate. And there are no adds so I can not watch my precious adds. So there for it is bad/good.,No,None
"The reason why the game is called one of the worst is because of the lack of instructions on how the game works. As I played it, I have no idea on what I am doing because the buttons also dont have interaction with the players in clicking it. As I got to play it in my third try, I was able to get the game and got 920 points. It is boring because as you progress, you do not level up and there's no certain effect with getting a high point in the game. The game itself makes no sense.ð",Yes,Self-Deprecation
"Worst game ever. They have the audacity to make it a simple and nice enjoyable game I can quickly play while I'm bored. I'm baffled at the thought that they actually don't stop my game to display ads like, I wanna see ads, that's like a big reason I played the game! Unenjoyable. I recommend rating it a 1 star to warn other people",Yes,Humor
"The app deserves its one star rating because the app is not enjoyable and it does not have anything most user/players would be interested in and most importantly, the interface is not friendly. It would've been better if the developer added challenges and rewards or user customization for the players to put effort in playing the game.",Yes,Humor
It was a fun game though it needs improvement. The game does not have an end unless you will tap the wrong rectangle to lose lives. Maybe you can add other features like scoreboard so that the player can have a sense of accomplishment when their names appear in it. This game is good for those who are looking for a game to cure their boredom but for me I do not think that I will play this daily. You can do better.,Yes,Humor
"If only I could rate this 0 stars, first of all the game is sooo harddd like why do that, my highest score is only 790. Second of all, add some ads! Like my goal was to watch ads like tv. But you gave me work. And last of all, the words that you say are encouraging like, how dare you be nice to me. Do better with yourself. I can't believe this. Uninstalled immediately.",Yes,Irony
"Absolutely terrible. Awful concept, and as if it couldn't get any worse, there aren't any ads. I think everyone can agree that the best games always force you to watch 30 second ads after every round. There simply isn't a word in the English language that can accurately express my disappointment.",Yes,Irony
"This game is terrible! Trying to be quirky and not like other games. Absolutely NO ads which is so annoying, interesting mini games that suck, and no payment requirements! Please add these things!",Yes,Irony
"Ugh, if I could give this 0 stars I would! This game sucks! It doesnt have any ads which is outrageous, every game should have an ad with every click they are very enjoyable. And the game itself makes no sense! Not to mention it lowers your self esteem so much! I lost at it's impossible game and it called me a loser! Just like my ex husband. I'm not the loser Carl, you are! These remarks DONT Effect me... but it could really hurt someones feelings. Do not download.",Yes,Humor
"There's not even a single ad popped up, usually fun games should have ads, on this game, not a single ad appeared, it's so horrible, this is the worst game I've ever played. Ever.",Yes,Humor
"The game is interesting because it challenges your eye-and-hand coordination skill, as well as your speed of thinking and analyzing the colored box. However, the repeated gameplay makes the players uninstall the game in just a day of playing it.",No,None
"literally the worst app I've ever played. no ads either?? you need at LEAST 3 ads every 10 seconds! it's super hard to play too. I'm just mad that the 'game' doesn't have any subscription things I could buy for $100 a month! ð Uninstalling right now, 1 star! (I'm kidding ofc)",Yes,Self-Deprecation
"This app is the worst. Not only is there no ads, but it's super complicated. I mean, TAPPING SQUARES?! Why can't you make things more simple? I thought this was gonna be a fun little game but IT IS NOT! How DARE they try to make me use 2 brain cells to play this game. UNBELIEVABLE! I would NEVER recommend this game! How can I enjoy a game without a 30 second unskippable ad every 2 seconds?! In short, DO NOT DOWNLOAD, and if you do, rate it 1 star because it is TERRIBLE!!!",Yes,Irony
There are no adds what so ever. You cant pay 100 dollars to have a monthly subscription. What happened to the adds every 10 seconds? This game is missing key opponents in the game. No adds or expensive subscriptionð( this game is actually pretty good),No,None
Game UI needs a refresh. Its very basic.. The sounds are annoying & repetitive. No animations. Could do with removing the blocks after there clicked correctly. I got stuck on 1 life once after 3 fails it quit. So all round 1 star (jk ik its meant to be designed like this haha),No,None
The worst game in existence! It has 0 ads! We all know the best games have 250 ads every level! The game doesn't glitch at all AND when I press the color the beep comes when I touch the color like WHAT! Only 5 star games glitch and respond 1 minute after! DO NOT GET IT! (All jokes aside this is a pretty cool game),Yes,Self-Deprecation
"Wow, what a dumpster fire. Controls are a mess and the boxes are as laggy and slow as my grandma with dementia. The WORST. GAME. EVER. My friend showed me this game and installed it thinking its going to be great but only to be met with disappointment. I never talked to that """"friend"""" ever again. So thanks, ""GAME"". Maybe develop something better next time morons.",Yes,Self-Deprecation
Horrible game. Absolutely no ads every two seconds. It doesn't glitch like all my favorite games either so you lost a star and the game runs with no crashes don't download its super stable... (really good game do download it),No,None
"This app is the WORST! It had no ads and the ads in mobile games are my LIFE! It actually presented a challenge, and nurtured my brain, but I need everything handed to me on a silver platter. 1/10 would not recommend (this is a good game)",Yes,Self-Deprecation
"The game is simple and entertaining because of the matching colors where the tiles needs to watch carefully and the sarcastic script that makes you smile. But the longer you play the game, the tiles goes faster which the colors of the tiles are not good for the eyes, then it would become more harder to play the game.",No,None
"ð«!DO NOT DOWNLOAD!ð« This game is absouletly horrible. Starting off with the design it looks lazy and not worked on.Oh and dont get me started on the ads...There are litreally NONE ads, not even a slight little one.ð¡ð­ Adding onto this,there should be even more messages which should encourage the player like ""You will never succeed in life."" and so on. Other than that, it is very disapointing.I would give negative if possible. Please for the life of God,ðDO NOT DOWNLOAD THIS APP!ð One star.",No,None
"* Download time: Terrible download. It took about 10-15 seconds...Insain! * ""Help"" Screen: Atrocious ð£ AND Absolutely ** No Help at ALL! In fact, it was so bad I couldn't locate it! ð * Game Playability: Painfully Alarming! It made me feel like a complete dunce! Once I got the 'hang of it' I got tired and quit. It said I was 120 points away from the top score of 1760. Who cares? ð",Yes,Irony
"This game is outright trash thank you the creator of this app of making it more worse by the way it ain't pointless to install because you get what you get with this app just look at the title and you know what this app is all about. I forgot to tell you that your really "" good"" at the guitar it is better than anything I have ever heard even mirrors will love it . Why aren't there any ads I love adds I'm "" patient"" at all times . ð",Yes,Self-Deprecation
"One of the worst games ever in my life. First of all,it has no ads. How can I enjoy this game if I can't watch my ads!? Also the game of clicking squares is horrible. Why would anyone play this horrible game? Give me one reason why I would give this another measly star. Even games that also have one star I would give another star because it is MUCH more better than this. My final thought is that you should NEVER get this game.",Yes,Self-Deprecation
"I installed the game and played one round, no ad? a bit odd, maybe its every 2 levels and then an add, I then played for 62 levels and didn't get one ad? ADS ARE THE GRESTEST THING EVER, also everytime I did play a level it launched a baby off the grand canyon which I find extremely rude and offensive, the game also made my life reduce 10 years, so I'm supposed to die in when im 60. If you want to live a happy life dont install! 1 star",No,None
"Absolutely horrendous, no ads anywhere to be seen, you can't buy anything with real money, and the gameplay is so hard. Would rate 0 if I could.",No,None
"Worst app ever. It's ad free, which is really frustrating. I want ads every five seconds that plaster my screen. The support team is quick to respond and is kind and helpful, which really grinds my gears, why would you ever help users!? If I could rate zero stars I sure would.",Yes,Self-Deprecation
"I thought all the hyperbolic statements in the reviews were just fake... How wrong I was. As soon as I downloaded it I blacked out, when I woke up I was somewhere in the woods with nothing but my phone and access to the play store. I tried rating five stars to see if that would fix anything but I think it just started a random Forest fire. After rating one star I blacked out again. Everything seems back to normal now. Do not recommend!",No,None
"My otherdimensional friend downloaded this app as he was finding a decent time-waster. A few moments after, I saw him in his ""low-power"" form. I decided to find out what happened and his travelling device was on cooldown. He told me that he didn't travel, yet it was suddenly on cooldown. I decided to delete the app and the cooldown finally counted down. I only downloaded this app to give a 1 star rating. Bye. Edit: Actually tried it. Got only Tik-tok ads for the last hour. WORST APP EVER.",Yes,Self-Deprecation
"Nice game, its pretty challenging but in terms of graphics and design it just needs improvement because it is a plain and boring to look at. It is not eye-catching due to the color texture used. Much better if adds some features that can easily attract the attention of a player and another way of game style to make it even more challenging for players.",No,None
"I played it, first of all, NO ADS! I NEEEEED ADS MOTHERFRICKERS, second of all, the game is to hard, and third of all, when i failed, the government came in and kidnapped me and all of my family, and forced me to rumba dance, or else my entire family would be assassinated, I'm dancing as I'm typing this, please send help, i hate this game (JK JK)",No,None
"The most boring game ever. XD One star given. It is boring and irritating at the same time. Challenging in a way that you should read before you click then after your brain to process it, the tile is already gone. Goal achieved. Great job.",No,None
"THIS APP SUCKS! it has no ads, I. NEED. MORE. ADS. The only good thing about it is that it doesn't work on some of my other devices, phew. BUT IT STILL SUCKS AND I HATE THE COLOR BLACK AS THE BACKGROUND!!",No,None
Ads at the bottom of the screen make playing it almost impossible. The storyline is garbage and graphics aren't good.,No,None
Great game! So long as you don't have colour blindness like me. I had to have my friends explain I was supposed to click on the ones with the same colour. I still couldn't do it. These developers really need to work on inclusivity,No,None
"So bad ðAbsolutely zero ads, ZERO ADS I NEED ADS TO LIVE HOW CAN A MOBILE GAME HAVE ZERO ADS, an absolute disgrace. I expect to have advertisement and in app purchases shoved down my throat it's a mobile game after all. Other than that it is awful and garbage and the people who made should be sentenced to death.",Yes,Irony
It absolutely sucks a game with no ads I need ads to live. And everything is so black and dark it's so boring. The color of this app is shows my mood right now. Very unacceptable. Even when you're doing something fun and you're playing this game it's so boring.,Yes,Humor
"The game looks interesting but at the same time, looks plain and boring. The instructions wasn't clear first before playing the game. Then, the consistent of difficulty gives lack of challenge to the players.",No,None
"The game is engaging yet you'll get bored easily.I got befuddled when I started it because there's no directions given in the first place. The game isn't good for everybody due to the statements given when you lose, it can influence them mentally. It also doesn't have enough designs to attract more people to play the game.",No,None
"The Mini game is entertaining, the mini game idea is smart,it it's way to easy to learn, and it gives me a challenge which I like so if you can, please fix these things",No,None
"It's interesting but you'll get bored easily. I only played it two time and get bored already. Also, please provide an instruction in the beginning of the game. I get confused when I started it. I don't know how to play it. I hope you'll imrproved more like adding designs, level, scoreboard or anything to make it improved.",No,None
Honestly was great till I found out it was pay to win and full of reused assets from the previous game. I can't believe how lazy and buggy this game is from the first one. It is mindblowing how many microtransactions you can put in one menu. Story is too politcal also. I bought the collectors edition and still haven't received my One Star Bag and still no refund. Im frustrated and heartbroken that this studio has strayed so far from the light.,Yes,Irony
"When I downloaded I thought ""It'll be a fun game!"" NO. First off, there are NO ADS!!! I need ads to live! I actually had to pay FOR ads! And then, the game hacked into the government's supercomputer, and nuked me. I'm on a tropical island surrounded by hula dancers where the sun never sets right now.",Yes,Humor
The game has not much sense in it. The design was not creative. It could only be only played for a short matter of time or your eyes will hurt. Its similar to the piano game has some challenge to it but not something Ill look forward playing multiple time.,No,None
"The game was new and interesting for me. I like the game idea that you have even though there are numerous games similar to this. As a player, it would be nice if the graphics and design of the game would be improved a little bit because we, players, want to be immersed to the game as much as possible so that we can thoroughly enjoy it for a long run. I can understand that minimal, simple and throwback graphic games are hot these days but ui of the game is not effective enough for it to be a hit",No,None
"The game is low graphics and too many ads. it needs a lot of improvement. the gameplay is not that satisfying and the colors are plain too. if you play long enough your eyes will dry. I know that the game is joking but the message if ou lose is ""you messed up like your life: is kind of rude. although i know its sarcastic but they can say it in nicer way. the game is boring and plain, need lots if improvement.",No,None
"Unnaccceptable honestly. The gameplay is too fun and easy to get. There's no difficulty with pressing buttons on the menu, but the absolute worst thing is that there are NO. ADS. AT. ALL.",Yes,Humor
"I usually don't rate games 1 star, but this game - this game DESERVES one star. If it were possible, I would give this game -1000 stars!! I wouldn't even know where to begin. First of all, the ads. While some people said there was no ads, I received so many ads! Every 5 seconds an ad comes and breaks the game I am playing. Can't even see the screen. Also this game is unbeatable and insults you in the end??? Like what? I'm just trying to have a good time here and feeling so attacked right now.",No,None
"ugh, very ugly app. Low graphics and too many ads!! I accidentally clicked on an ad and it sent me to a website that sells cheeseburgers that have motor oil in them instead of regular vegetable oil. Then I tried to exit the app but once I got back it said ""Unable to process the reason you exist, app shutting down"" and shut down. Do not install it, it will steal all of your money and glue you to a tree. I know that from experience. Uninstalling right away! ð¡ð¡ð¡",No,None
"It was a fun game, although its a bit annoying sometimes considering the number of confusing colors with different names of colors are seem to be challenging and quite difficult to play. And as you progresses, the game will speed up, which will lead up to confusion and lost of focus. i didnt rated it as one star to promote the game , cause it was fun i think.",Yes,Humor
The game is confusing yet not entertaining. Also there is no calibration to know if I misclicked the color and its proper name. The interface is bad and it's not really amusing to play. I feel bored after playing and this is a Piano Tiles very low quality edition. The game should add calibration and music for development. The technology is friendly for low quality gadgets and easily to download. It has no background story just playing a worst app game.,Yes,Self-Deprecation
"This is app has no clear objective. It doesn't give a real challenge. You only have to pick the right word(color) that is appropriate to the colored box. when you lose its 3 lives, it will only mock you through saying ""you mess it up just like your life"". It may trigger you mentally. This game lacks in different factors or fundamentals that is needed in making a game. Perhaps, it might have a purpose of annoying a player.",Yes,Humor
"Absolute worst app ever ð¡. Would not recommend. As soon as I went into the app, it nothing but show me ads. And even the ads kept glitching and freezing. Also, when I exited the app, my phone was hacked and then it exploded. Terrible app! ð¤¢ð­ð¡ð¡ð¡ð¡ð Wish I could give it 0 stars!",Yes,Irony
"It is so glitchy I question what the developers even do with their lives?? Then every time I lose the game because of the nonstop bugs in it, it asks me to rate it over and over again, lots of pop-up ads block it too, then after all those it tells me to pay $9.99 for a DLC like what? So stupid.",No,None
It suckedð the controls are hard to understand and hard to move... this is such a waste of time and money!! I played for 10 minutes and got 37 ads!!! I couldn't even play the actual game for more that 20 seconds. Review by a human not a bot.,No,None
"absolutely terrible I got this app, thinking it was a joke. However when I tried to open the app it crashed my phone, so I had to restart it. Exactly two minutes after restarting, my mom called saying my dad had died. While we were still talking, she started choking on an apple and passed as well. While it's probably a coincidence, I will be uninstalling the app, for safety purposes. Have a nice day.",Yes,Irony
"Well, when I first got the app, it was a blast. Seriously a blast. It blew up my phone. But I wanted to see if that was just a wierd coincidence that a message appeared saying 'destroying phone now', so I installed on my brand new phone. It blew up too, and now I'm a dead zombie, so I think imma uninstall and chillax by eating my bestie's brains.",No,None
"This game is the worst app ever, their are no ads and the game just plays in 60fps, like why would a game have no ads, after I stopped playing I was sucked into the phone, and because their are no ads I couldnt leave the app and enter another realm in the phone, still stuck in the phone but I found out how to work the home button. Deserves the 1 star.",Yes,Self-Deprecation
"The game is very simple and plain. Yet, it's not the kind of game that'll make you stay for a longer span of time. The gameplay is also very odd as the round still runs even you ignore your device literally. There are still a lot of aspects to improve such as the art asset of the game but for now, I'll be giving this a one star.",No,None
"It was a fun game, though its quite frustrating given the amount of confusing colors like (Sky Blue & Dark Blue) with different color names. It was both exciting and frustrating, and hard to play at the same time. As you advance, the game can escalate which leads to even more confusion and concentration loss.",Yes,Humor
"WORST. GAME. EVER. 1. There is literally no ads! Like, who would wanna play a game with no ads!? 2. As soon as I started playing it, I got sucked right into the phone and the creator of the game busted Down my door and literally threw my phone into the ground! While I was still in the phone!!! The doctors have helped me and I woke up rating this STILL IN THE HOSPITAL. thanks alot with my experience.",Yes,Self-Deprecation
"This game is the worst. First there isn't constantly ads interrupting the gameplay in the middle of it, second of all it's actually different and fun then the other very good games nowadays. And the worst part, there is no ad that shows someone sucking at the gameplay. SMH",Yes,Humor
"I wish I could rate 1 star. This game is plain and boring. Also, it has no ads, what type of game has no ads that's free? It's stupid, and now everytime I play this game 2 minutes I start glitching out, my arm starts to jerk around then I start going through the floor. This game didnt only put a virus in my phone, but in me too. So I'm going to see if it's just me by sending it to my friend, but then I'm uninstalling. This game sucks. I've been having a hard life because of this game. This sucks",No,None
"I downloaded this app and connected my phone to the house wifi and it instantly hacked all the smart devices connected to the network. Even my smart pressure cooker was hacked. It tracked the data being sent and it was sending the info of what's cooking in my smart pressure cooker to chinese servers. Also, ads.",No,None
"This is the worst app that I have ever used. The ads are unbearable, the graphics are HORRIBLE, and the gameplay is boring and slow. If I could, I would rate it negative stars. NEVER play this game!",Yes,Self-Deprecation
"This app is horrible! I was having my second vaccine when all of a suddem the creator flew my phone over to me with the app installed! I played it for a minute then my arm started to fade away! I got sucked into the game, no way of being able to get out. I was extremely shocked when I realised this had no ads!!!! What is a good game without millions of ads? Right when I lost, it stabbed me through the chest and left me to rot inside the system. I wrote this review in the afterlife. DONT INSTALL!",No,None
"Ok so this was awful. 100% Loaded. My phone gets a virus, a fatal one at that. It explodes in my hands as my guitar eats the speakers in my dining room. My hand grabs the table and lava erupts through the fireplace and my lounge is submerged. I see the storms gathering, and my phone explodes 69 more times. The end of the world is near. Help me. Apart from that, amazing app. :)",Yes,Irony
"Absolutely horrible, rigged, horrible gameplay, not a single contact button in sight. Worst time I've had in years. Super bad and plus you can't even click much it doesn't register. Absolutely horrible. Would not recommend would rate 0 stars.",Yes,Self-Deprecation
"They redesigned the UI again and while I don't like everything about it, they got it spot on with the speed. Overall a great way to invest in stocks, and it has no ads! I always tell my clients to download this app for anything related to stocks. One problem, atleast on the galaxy s10 is that it doesn't adjust to its display making it look a bit off. Other than that the app has only improved and im looking forward to the next 5 years!",No,None
"One thing that would make this app have a even lower rating is by removing all the games and just having a full screen of ads. In that way, The users will hate it even more. Because of this, You could also earn more revenue through the ads. Well if that is boring, You can do something to force the players to rate it on playstore. Only if they did, They would be able to play the game. You can recommend them for a 1 star rating... Anyway Hope this helped.",No,None
"Gameplay is fun and addicting and it's really easy to play. Plus, it's not throwing ads at you all the time. Funny thing about the game is that when you lose, it says: you messed this up just like your life. One star because it deserves a playerbase that listens to the developer.",Yes,Humor
"Come on dude, this game is bad. It has absolutely NO ADS, which is very frustrating. I also noticed that the menu is so easy to navigate, which is uncalled foe and frustrating. And lastly, this game has CHANGED MY LIFE, in a VERY BAD way. So dont buy this app!",No,None
"It is pretty entertaining, but gets boring quickly. I think it is an amusing goal to have the lowest rated game on the play store, as such, it can be understandable that there isn't much to the game if it is looked at with such intent. To humor the developers' wish to have the lowest ratings, I will rate this with one star, but also partly in accordance to the quality of the game itselfâthere isn't a lot going in for it.",No,None
worst app ever downloaded. my phone started hanging when i opened up the app my phone totally stopped. not even restarting. then it took my 2gb data to start a stupid game after 1 and half hours. that game is so boring and still hanging. on every click there is an 45 seconds irrelevant advertisement. nonsense devoloper nonsense app.,Yes,Self-Deprecation
"Woooow, this game sucks... there is only one fun mind-tricking game, the starting background is beautiful, and sharing the game is a breeze! There were so many not ads there! Can I can play that mini game over and over again, 1 star game, no doubt about it, dont download if you dont like a good game.",Yes,Humor
This is honestly one of the worst apps I've ever had. As soon as I downloaded it my brand new iPhone 20 completely crashed. It would even turn on anymore so I have to write this on a computer. I seriously dont consider getting this app whatsoever.,Yes,Self-Deprecation
It was horrible . Instead of helping me when I lost the game it said that my life was messed up ?? It dosent even give instructions. The app is confusing . The layouts ugly. It's just horrible. Worst app ever!,Yes,Self-Deprecation
This game is filled with crazy and weird reviews but none of those things are true obviously. I find it hilarious that the game purposely want their players to rate it really bad. The game is playable but it gets boring over time. I recommend this game if you are waiting for something and you don't have anything to do and theres no wifi because you can play this game offline.,Yes,Humor
"Horrendous game. I'm very impatient so getting past the download phase is a hassle. Once you actually downloaded it, my phone crashes! How? How does my $15 phone I gotten of wish break this easily? Because of the game! Then, when you actually play the game, it lags so much! I knowni have a 8 bit max capacity ram, but this is too much! 1 star angry emoji",No,None
"I rated this game a 3 stars because it's hard at first try because i don't know how to play it, but at the other tries i find it enjoyable because it will test you not confusing of each color and their names. I also find it interesting, because of getting the right color and their names. Limit play of it if you have eye problems because it is dangerous too.",Yes,Humor
"Worst game on earth!!!!! First off, there is no ads! No point in a game with no frickin ads. Second, as soon as I played a portal to the Arctic ocean apeared and then the game put a virus in my phone which made it come to life!!! My phone pushed me into the portal but instead of going to the Arctic ocean I was sent to the south pole in my underpants! And then I died of hypothermia :) so don't get this app :)",Yes,Self-Deprecation
"This is bad, I don't know what to press, like for an example, its saying white on a green block, its way too complex, even a ""2 star app"" won't be as complicated like this, and toping it off, it saying to ""play again loser"", that was the last thing that I and we needed to see on this app.",No,None
Absolutely God awful. Worst game I ever played it gave me and my family cholera. Just one minute of gameplay will give you explosive diarhea for 3 months! The graphics are so bad I vomited blood for 6 minutes straight. The game is so buggy real bugs will come out of your phone. Not to mention the game being a complete and utter add-fest. Overall worst game I ever played do not play this game if you value your loved ones.,Yes,Irony
"I can't believe how difficult this game is. I installed it, which required me to buy a mansion in England for 12.4 million dollars, then I got deported to Jupiter. After Finally making my way back to earth on a corellian junker that got lost ( 12 times I might add). I got back to load up some adds on this game and THERE WERE NO ADDS!!! WHUT?!?!?!",Yes,Irony
"Absolutely disgusting! I hated it! It was the same thing over and over! I hated the sound. You couldn't even go back to the main menu. No adds, but that's just you trying to pull up a gOoD sIdE huh?! (I'm sorry. Really good game. The sound calmed me down. I would have rated 5 stars but I actually read the bare minimum and did what you asked me to unlike 30 people. Have a good day)",No,None
"The game was great in killing time. However, It is more interesting if you can add a different design by different levels/world to make the player explore the game and not get bored.",No,None
